Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,!,!,!,!,#,#,#,-,#,-,#,-,#,-,648.6,12.0,#,-,#,-,#,-,#,-,661.6,-,#,#,#,-,#,-,691.9,-,#,-,#,-,#,-
E,East Midlands,211.5,2.0,225.8,1.5,236.6,1.7,244.8,1.7,261.6,1.6,264.5,1.8,275.0,1.7,287.5,1.5,289.0,1.5,288.7,1.4,295.3,1.6,304.6,1.6,307.8,1.8,306.6,1.5,322.1,1.3,329.5,1.5,335.8,1.3,357.2,1.3,370.2,1.7,391.9,1.3
F,West Midlands,220.6,1.8,231.3,1.6,244.1,1.6,253.2,1.5,267.8,1.6,269.0,1.6,276.8,1.8,290.8,1.4,296.0,1.3,289.3,1.3,296.8,1.4,305.0,1.4,306.7,1.4,312.7,1.4,326.0,1.2,338.3,1.2,350.5,1.3,366.0,1.0,380.2,1.4,401.4,1.1
G,East,234.0,1.8,246.1,1.8,258.1,1.8,260.6,1.5,276.7,1.5,281.0,1.6,296.1,1.6,306.6,1.5,317.1,1.4,316.2,1.5,314.5,1.8,331.6,1.4,324.0,1.5,330.3,1.5,345.7,1.3,351.3,1.3,373.6,1.4,386.7,1.2,402.7,1.6,420.9,1.5
H,London,353.1,1.2,364.7,1.3,378.6,1.4,383.3,1.1,399.7,1.1,421.7,1.3,433.9,1.3,448.4,1.3,453.5,1.2,443.9,1.2,460.0,1.3,456.6,0.9,457.5,1.1,461.0,1.1,474.3,0.9,488.7,1.0,503.4,0.9,520.7,1.1,523.2,1.4,536.6,1.3
J,South East,265.7,1.3,276.4,1.3,284.8,1.1,287.5,1.0,296.4,1.0,303.3,1.2,310.8,1.2,320.2,1.0,326.8,1.0,328.1,1.0,338.5,1.1,342.3,1.0,350.7,1.0,357.1,1.0,375.4,1.0,377.4,0.9,386.9,0.8,408.7,0.9,412.7,1.2,444.8,1.0
K,South West,212.4,1.7,225.0,1.7,237.2,1.8,247.4,1.5,258.0,1.5,267.6,1.7,281.1,1.4,287.5,1.4,295.6,1.4,287.4,1.4,294.1,1.3,297.2,1.4,300.1,1.3,306.3,1.4,323.0,1.3,324.7,1.4,335.4,1.4,356.8,1.2,358.7,1.6,383.3,1.2
924,Wales,219.4,2.3,227.3,2.3,243.6,1.9,253.2,1.9,266.0,1.6,273.9,2.0,280.1,2.0,296.7,1.5,297.9,1.7,297.2,1.9,300.9,2.3,307.7,1.7,310.9,1.9,318.8,2.0,334.8,1.6,340.7,1.6,346.3,1.6,371.6,1.5,385.2,2.0,402.5,1.7
923,Scotland,232.4,1.5,246.7,1.4,255.3,1.3,267.5,1.3,272.8,1.3,287.6,1.5,304.1,1.2,313.8,1.1,311.6,1.4,314.6,1.2,316.4,1.4,329.0,1.2,334.3,1.3,341.9,1.3,350.7,1.1,362.1,1.2,378.5,1.2,395.5,1.3,420.8,1.6,442.1,1.2
922,Northern Ireland,221.8,3.5,231.2,2.6,248.9,3.1,258.8,2.7,260.2,2.8,272.0,2.6,286.8,2.5,297.1,2.2,297.1,2.3,300.0,2.7,298.4,2.7,302.2,2.4,296.0,2.9,309.2,2.8,322.0,2.4,334.0,2.0,350.0,2.3,363.5,2.0,378.3,2.1,405.2,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,England and Wales,238.4,0.3,249.9,0.3,261.0,0.3,268.7,0.3,280.8,0.3,287.8,0.2,299.8,0.4,310.5,0.4,317.5,0.3,314.1,0.3,321.4,0.3,328.0,0.3,331.5,0.3,338.0,0.3,350.5,0.3,358.8,0.3,369.8,0.3,388.8,0.3,399.3,0.4,419.6,0.2
926,United Kingdom,237.5,0.3,248.0,0.3,259.1,0.3,267.1,0.3,278.6,0.2,287.5,0.2,299.4,0.3,309.6,0.3,315.8,0.3,313.2,0.2,319.7,0.3,327.2,0.2,330.4,0.3,337.1,0.3,349.1,0.3,358.3,0.3,369.9,0.3,388.1,0.3,400.1,0.3,420.1,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
